gene
TR10030|c0_g1_i1
TR10043|c0_g1_i1
TR10050|c0_g1_i1
TR10054|c0_g1_i1
TR10054|c0_g2_i1
TR10082|c0_g2_i1
TR10083|c0_g2_i1
TR10090|c0_g1_i1
TR10090|c0_g2_i1
TR10103|c0_g1_i1
TR10108|c0_g1_i1
TR10110|c0_g1_i1
TR10111|c0_g1_i1
TR10125|c0_g1_i1
TR10132|c0_g1_i1
TR10142|c0_g1_i1
TR10142|c0_g1_i2
TR10161|c0_g1_i1
TR10166|c0_g1_i1
TR10172|c0_g1_i1
TR10181|c0_g2_i1
TR10183|c0_g1_i1
TR10197|c0_g1_i1
TR101|c0_g1_i1
TR10203|c0_g1_i1
TR10205|c0_g1_i1
TR10205|c0_g2_i1
TR10209|c0_g1_i1
TR10214|c0_g2_i1
TR10218|c0_g1_i1
TR1021|c0_g1_i1
TR10226|c0_g1_i1
TR10246|c0_g1_i1
TR10261|c0_g1_i1
TR1030|c0_g1_i1
TR10334|c0_g2_i1
TR10361|c0_g1_i1
TR10365|c0_g1_i1
TR10383|c0_g1_i1
TR10439|c0_g1_i1
TR10439|c0_g2_i1
TR10441|c0_g1_i1
TR10441|c0_g2_i1
TR10450|c0_g1_i1
TR10455|c0_g1_i1
TR10458|c0_g1_i1
TR10458|c0_g2_i1
TR10468|c0_g1_i1
TR10468|c0_g2_i1
TR10482|c0_g1_i1
TR10482|c0_g2_i1
TR10487|c0_g1_i1
TR10495|c0_g1_i1
TR10496|c0_g1_i1
TR10498|c0_g3_i1
TR10499|c0_g1_i1
TR104|c0_g1_i1
TR10509|c0_g1_i1
TR10512|c0_g2_i1
TR10514|c0_g1_i1
TR10514|c0_g1_i2
TR10515|c0_g1_i1
TR10517|c0_g1_i2
TR10518|c0_g1_i1
TR10521|c0_g1_i1
TR10521|c0_g2_i1
TR10522|c1_g1_i1
TR10523|c0_g1_i1
TR10527|c0_g1_i1
TR10530|c0_g1_i1
TR10533|c0_g1_i1
TR10535|c0_g1_i1
TR10541|c0_g1_i1
TR10551|c0_g1_i1
TR10551|c0_g3_i1
TR10552|c0_g2_i1
TR10557|c0_g1_i1
TR10557|c0_g2_i1
TR10560|c0_g1_i1
TR10560|c0_g2_i1
TR10566|c0_g1_i1
TR10586|c0_g1_i1
TR10587|c0_g1_i1
TR1059|c0_g1_i1
TR105|c0_g1_i1
TR10624|c0_g1_i1
TR10625|c0_g2_i1
TR10636|c0_g1_i1
TR10650|c0_g1_i1
TR10653|c0_g1_i1
TR10655|c0_g1_i1
TR10675|c0_g1_i1
TR10675|c0_g2_i1
TR10683|c0_g1_i1
TR10686|c0_g1_i1
TR10697|c0_g1_i1
TR1069|c0_g1_i1
TR1070|c0_g1_i1
TR10713|c0_g1_i1
TR10715|c0_g1_i1
TR10715|c0_g2_i1
TR10723|c0_g1_i1
TR10735|c0_g2_i1
TR10742|c0_g1_i1
TR10742|c0_g2_i1
TR10743|c0_g1_i1
TR10746|c0_g1_i1
TR10748|c0_g1_i1
TR10749|c0_g1_i1
TR10755|c0_g2_i1
TR10757|c0_g1_i1
TR10759|c0_g1_i2
TR10760|c2_g1_i1
TR10761|c0_g1_i1
TR10764|c0_g1_i1
TR10764|c0_g2_i1
TR10766|c2_g1_i1
TR10768|c0_g1_i1
TR10772|c0_g1_i1
TR10773|c0_g1_i1
TR10773|c1_g1_i1
TR10779|c0_g2_i1
TR10779|c0_g3_i1
TR10780|c0_g1_i1
TR10785|c0_g1_i1
TR10786|c1_g1_i1
TR10787|c0_g2_i1
TR10788|c0_g1_i1
TR10788|c0_g2_i1
TR10795|c0_g1_i1
TR10796|c0_g1_i1
TR10796|c0_g2_i1
TR10798|c0_g1_i1
TR10802|c0_g2_i1
TR10804|c0_g1_i1
TR10804|c0_g2_i1
TR10807|c0_g2_i1
TR10808|c0_g1_i1
TR10812|c0_g1_i1
TR10813|c0_g1_i1
TR10814|c0_g1_i1
TR10815|c0_g2_i1
TR10815|c0_g3_i1
TR10818|c0_g2_i1
TR10822|c0_g1_i1
TR10827|c0_g1_i1
TR10831|c0_g1_i1
TR10837|c0_g1_i1
TR10843|c0_g1_i1
TR10845|c0_g1_i1
TR10853|c0_g1_i1
TR10868|c0_g1_i1
TR10873|c0_g1_i1
TR10873|c0_g2_i1
TR10904|c0_g1_i1
TR10914|c0_g1_i1
TR10914|c0_g2_i1
TR10918|c0_g1_i1
TR10918|c0_g2_i1
TR10937|c0_g1_i1
TR10945|c0_g1_i1
TR10953|c0_g1_i1
TR10954|c0_g1_i1
TR10954|c0_g2_i1
TR10955|c0_g2_i1
TR10961|c0_g1_i1
TR10962|c0_g1_i1
TR10962|c0_g1_i2
TR10981|c0_g2_i1
TR10982|c0_g1_i1
TR10991|c0_g2_i1
TR10992|c0_g1_i1
TR10992|c0_g2_i1
TR11005|c0_g1_i1
TR11012|c0_g1_i1
TR11018|c0_g1_i1
TR1101|c0_g1_i1
TR11046|c0_g1_i1
TR11051|c0_g1_i1
TR11051|c0_g2_i1
TR1106|c0_g1_i1
TR1110|c0_g1_i1
TR1113|c0_g1_i1
TR11147|c0_g1_i1
TR11148|c0_g1_i1
TR1118|c0_g1_i1
TR1122|c0_g1_i1
TR11240|c0_g1_i1
TR11322|c0_g1_i1
TR11340|c0_g1_i1
TR11344|c0_g1_i1
TR11363|c0_g1_i1
TR11370|c0_g1_i1
TR11370|c0_g2_i1
TR11373|c0_g1_i1
TR11377|c0_g1_i1
TR11398|c0_g1_i1
TR1143|c0_g2_i1
TR1145|c0_g1_i1
TR1148|c0_g1_i1
TR1148|c0_g1_i2
TR11491|c0_g1_i1
TR11497|c0_g2_i1
TR1151|c0_g1_i1
TR1155|c0_g1_i1
TR11575|c0_g1_i1
TR11575|c0_g2_i1
TR11585|c0_g1_i1
TR11585|c0_g2_i1
TR11589|c0_g1_i1
TR11589|c0_g2_i1
TR11596|c0_g2_i1
TR11598|c0_g1_i1
TR11598|c0_g2_i1
TR1159|c1_g1_i1
TR1162|c0_g1_i1
TR11633|c0_g1_i1
TR11633|c0_g2_i1
TR11634|c0_g1_i1
TR11645|c0_g2_i1
TR11646|c0_g1_i1
TR1165|c0_g1_i1
TR11670|c0_g1_i1
TR11674|c0_g1_i1
TR11687|c0_g2_i1
TR1168|c0_g1_i1
TR11691|c0_g1_i1
TR11695|c0_g2_i1
TR1169|c0_g1_i1
TR1170|c0_g1_i1
TR1171|c0_g1_i1
TR1171|c0_g2_i1
TR11723|c0_g1_i1
TR11726|c0_g1_i1
TR11727|c0_g1_i1
TR11728|c0_g1_i1
TR1172|c0_g2_i1
TR1173|c0_g1_i1
TR11742|c0_g1_i1
TR11746|c0_g1_i1
TR1174|c0_g1_i1
TR1174|c1_g1_i1
TR11750|c0_g1_i1
TR11754|c0_g1_i1
TR11755|c0_g1_i1
TR11759|c0_g1_i1
TR11764|c0_g1_i1
TR11769|c0_g1_i1
TR11769|c0_g2_i1
TR11771|c0_g1_i1
TR11771|c0_g2_i1
TR11780|c0_g1_i1
TR11780|c0_g2_i1
TR11785|c0_g1_i1
TR11790|c0_g1_i1
TR11791|c0_g1_i1
TR11796|c0_g1_i1
TR11796|c0_g2_i1
TR11797|c0_g1_i1
TR1179|c0_g1_i2
TR11807|c0_g1_i1
TR11807|c0_g2_i1
TR11814|c0_g1_i1
TR11814|c0_g2_i1
TR11818|c0_g1_i1
TR11818|c0_g2_i1
TR1181|c0_g2_i1
TR11821|c0_g1_i1
