gene,pval
TR45892|c0_g1_i1,0
TR45880|c0_g1_i1,0
TR45235|c0_g1_i1,0
TR4412|c0_g1_i1,0
TR43821|c3_g5_i1,0
TR43821|c3_g4_i1,0
TR43821|c3_g3_i1,0
TR43821|c3_g2_i1,0
TR43821|c3_g1_i2,0
TR43821|c2_g2_i2,0
TR43821|c1_g2_i1,1
TR43821|c0_g1_i1,0
TR43809|c1_g2_i1,0
TR43786|c1_g1_i2,1
TR43786|c0_g1_i5,0
TR43784|c0_g1_i1,0
TR43764|c4_g1_i1,1
TR40502|c1_g1_i4,0
TR40484|c0_g1_i1,0
TR40455|c0_g1_i1,0
TR37506|c0_g1_i1,0
TR36453|c0_g1_i4,0
TR35267|c0_g1_i2,0
TR35257|c0_g1_i2,0
TR35256|c4_g1_i2,1
TR35254|c0_g2_i1,0
TR35209|c0_g1_i1,0
TR35205|c0_g1_i1,0
TR3408|c0_g1_i1,0
TR32185|c0_g1_i1,0
TR30871|c0_g1_i1,0
TR3048|c0_g1_i1,1
TR30078|c0_g1_i1,0
TR30007|c0_g1_i1,0
TR29969|c0_g1_i1,0
TR29953|c0_g2_i1,0
TR29945|c0_g2_i1,1
TR29927|c2_g1_i2,0
TR29618|c0_g2_i1,0
TR2955|c0_g1_i1,0
TR2923|c0_g1_i1,1
TR28673|c3_g1_i1,0
TR28670|c0_g2_i1,0
TR28670|c0_g1_i1,0
TR28668|c0_g1_i1,0
TR28658|c0_g1_i5,0
TR28640|c0_g2_i1,0
TR28640|c0_g1_i1,0
TR28623|c0_g1_i1,0
TR28618|c0_g2_i1,0
TR28607|c0_g2_i1,1
TR28584|c3_g2_i1,0
TR27710|c0_g1_i2,0
TR24741|c0_g1_i1,0
TR24731|c0_g1_i1,0
TR24716|c1_g1_i1,0
TR24702|c0_g2_i2,0
TR2467|c0_g2_i1,0
TR23818|c0_g2_i1,0
TR20457|c2_g1_i3,0
TR20447|c0_g1_i1,1
TR20433|c0_g3_i1,0
TR20433|c0_g1_i1,0
TR20428|c0_g1_i1,0
TR20421|c4_g1_i1,1
TR20381|c0_g1_i1,0
TR20376|c0_g3_i1,1
TR19446|c0_g1_i1,0
TR19443|c0_g1_i1,0
TR19413|c0_g1_i1,0
TR19354|c0_g1_i1,0
TR19274|c0_g1_i1,0
TR1924|c0_g1_i1,0
TR19033|c0_g1_i1,0
TR19018|c0_g1_i1,0
TR18441|c0_g1_i3,1
TR18413|c1_g1_i1,0
TR18406|c0_g1_i1,0
TR17957|c0_g1_i1,0
TR17954|c0_g1_i2,0
TR17942|c0_g1_i1,0
TR17930|c0_g3_i1,0
TR17887|c0_g3_i1,0
TR17886|c0_g1_i1,0
TR17876|c0_g1_i1,0
TR17869|c0_g4_i6,0
TR16990|c0_g1_i1,0
TR16089|c0_g1_i1,0
TR13969|c0_g1_i1,0
TR13934|c0_g1_i1,0
TR13843|c0_g4_i1,0
TR13836|c0_g1_i1,0
TR13829|c0_g1_i1,0
TR13828|c2_g2_i1,0
TR13823|c0_g3_i2,0
TR13818|c0_g2_i2,0
TR13816|c0_g1_i1,1
TR13812|c1_g1_i1,0
TR13799|c4_g1_i3,0
TR13799|c4_g1_i1,0
TR13796|c1_g1_i2,0
TR13794|c0_g2_i2,0
TR13793|c1_g1_i1,0
TR13784|c0_g1_i7,0
TR13773|c0_g2_i1,0
TR13764|c2_g1_i5,0
TR13763|c0_g1_i1,0
TR13750|c1_g1_i3,0
TR13749|c0_g1_i2,0
TR13743|c0_g2_i1,0
TR13725|c1_g1_i4,1
TR13725|c1_g1_i3,0
TR13725|c1_g1_i1,0
TR13657|c0_g1_i1,0
TR13654|c0_g1_i1,0
TR13650|c1_g1_i2,0
TR13340|c2_g1_i4,0
TR13328|c0_g1_i1,0
TR13320|c0_g2_i1,0
TR13297|c0_g1_i1,0
TR13286|c1_g1_i1,0
